dev_loginname	proj_unixname	is_admin	position
psmehta	activegrid	0	Tester
stoens	activegrid	0	Developer
wmschott	activegrid	0	No specific role
darkmagister	d-box	1	No specific role
ajcompany	activelock	0	No specific role
davidweatherall	activelock	0	Developer
dwains102	activelock	0	Developer
farcasclaudiu	activelock	0	Developer
ialkan	activelock	1	Project Manager
tkuchel	activelock	0	Developer
waltersenekal	activelock	0	Project Manager
myamato	g-inspector	0	Developer
shige-sf	g-inspector	1	Developer
darreng	n-able	1	No specific role
rikesh	n-able	1	All-Hands Person
arc0n	q-bb	1	No specific role
marciof	c-library	1	No specific role
jrccid	l-proy	1	No specific role
andras	c-minuit	1	No specific role
jasonthereaper	h-xoops	1	Developer
leepard	h-xoops	0	Translator (I18N/L10N)
migrosdata	h-xoops	0	DBA (Database Administrator)
smokingplane	h-xoops	0	Translator (I18N/L10N)
xavipr	h-xoops	0	Translator (I18N/L10N)
tanisj	f1help	1	No specific role
maxlego	m-f-w	1	No specific role
joomlatworkteam	j-devtools	1	No specific role
samuel_heim	w-a-l	1	No specific role
jonny20330	f2-installer	1	All-Hands Person
hogie	backpedal	1	No specific role
martolong	c-open-smpp-34	0	Developer
rtremsal	c-open-smpp-34	1	Developer
dougsatch	x-assist	1	No specific role
ajeru	f2f	1	Project Manager
hariet	f2f	1	Project Manager
jawe	f2f	1	Project Manager
akhe	activex	1	Project Manager
clneumann	t-gtk	0	No specific role
gamaliel0763	t-gtk	0	No specific role
kuato	t-gtk	0	No specific role
marcosgambeta	t-gtk	0	No specific role
riztan	t-gtk	0	No specific role
rosenwla	t-gtk	0	No specific role
xthefull	t-gtk	1	Project Manager
databyte	m-n-mumps	1	Project Manager
kdtop	m-n-mumps	0	Developer
nanthracite	m-n-mumps	0	Developer
dcazzulino	n-matrix	1	No specific role
don_xml	n-matrix	1	Project Manager
loko	r-java-inf	1	All-Hands Person
tobias_verbeke	r-java-inf	1	All-Hands Person
tequilaslammer	activexmlr	1	No specific role
floydprice	activexp	1	Project Manager
garyz	activexp	1	No specific role
nrushforth	activexp	1	Project Manager
ksadlocha	s-mail	1	No specific role
abumarsa	e-demon-online	1	No specific role
gustavobt	g-socks	1	No specific role
nailgunster	q2-engine	1	No specific role
aedil	y2l	1	No specific role
tilly_2	u-toolz	1	No specific role
amersohail794	o2x	1	No specific role
luice	j-impa	1	No specific role
dullerm	r-osgi	0	Developer
rjan	r-osgi	1	Project Manager
ultracat	w-windows	1	No specific role
ymchoi	w-windows	1	No specific role
ianculling	v1-vs-addin	1	No specific role
nd98powell	v1-vs-addin	1	Advisor/Mentor/Consultant
pmamut	v1-vs-addin	1	Developer
raj1v	v1-vs-addin	1	Developer
v1_dhanson	v1-vs-addin	1	Developer
v1_pjb	v1-vs-addin	1	Developer
acti_solutions	activscm	1	No specific role
jaewoolee	z2z	1	No specific role
mathews_it-3	m-t3	1	No specific role
glennmaughan	v2d	1	No specific role
ikingifl	v2d	0	Doc Writer
julian_deville	v2d	0	Doc Writer
peter7723	v2d	0	Doc Writer
altren	my-gui	1	All-Hands Person
deniskoronchik	my-gui	0	No specific role
my_name	my-gui	1	Unix Admin
sjaako	my-gui	0	Developer
jlaangry	u3apps	1	No specific role
dwayneb	my-lib	1	No specific role
vutunglam	x-frameanalyzer	1	Project Manager
fguillau	o3dge	1	Project Manager
massilla	o3dge	1	Project Manager
ljubo	g2	1	No specific role
tijs	g2	0	Developer
wagner	g2	1	No specific role
dlinsin	i-trax	1	No specific role
fred14214	c-y-a	0	Developer
hangster	c-y-a	0	Developer
hugeeuge	c-y-a	0	Developer
kasprowb	c-y-a	0	Developer
mvm313	c-y-a	0	Graphic/Other Designer
rcolbey	c-y-a	1	Project Manager
syeoh	c-y-a	1	Project Manager
the_shade	c-y-a	0	Developer
zmn	n30-cms	1	All-Hands Person
hmcclungiii	h3xcel	1	No specific role
mmartin2	z80eclipse	1	No specific role
zilvester	j-owl	1	No specific role
boo_boo	z80ex	1	No specific role
theglasswalker	actualizer	1	No specific role
bhuvan_s_2000	e-helpdesk	1	Project Manager
sunbalan	e-helpdesk	0	Developer
m4r1ol	space2	1	No specific role
jaedlund	s11n	0	Developer
sgbeal	s11n	1	Project Manager
tittoproject	x-launcher	1	No specific role
lkrecan	m2-repoindex	1	No specific role
dirkhillbrecht	i18nedit	1	Project Manager
ppeterburgskyy	i18nedit	0	Developer
jnekl	z8encore	1	No specific role
tom191gmx	w32-perlexe-env	1	Developer
inequation	q3mass	1	All-Hands Person
zebra_9	z9-data-ss	1	No specific role
hhabermann	m23	1	No specific role
ballabio	g2dlib	1	No specific role
ferraro	ha-javamail	1	No specific role
abisma	phantarei	1	No specific role
roscoerush	r2tech-eclipse	1	No specific role
marcelrienks	my-utilities	1	No specific role
ferraro	ha-jdbc	1	Project Manager
artfulgotcha	g2f3	1	No specific role
tpsoftware	q3plugs	1	Developer
chenwang	m2b3	1	No specific role
clansfor	uacm	0	Developer
scott_schrecken	uacm	1	Project Manager
abhijat	na-setools	1	No specific role
clawsss	t2web	1	Developer
jsinx	l2tommy	1	No specific role
mike_2000	k8055-java-wrap	1	No specific role
aefimov	phantom-common	1	Developer
yrakitin	phantom-common	0	Developer
hjtoi	m2crypto	1	No specific role
dmitry_kulik	i2cprog	1	No specific role
tyanh	j-sim	1	No specific role
computer-grid	m2everyware	1	No specific role
diemesa	d2vreports	1	Developer
dmortizr	d2vreports	1	Developer
woyle	x-pipe	1	No specific role
ddewalle	v5-ga-core	1	No specific role
ddewalle	v5-greenauks	1	No specific role
ddewalle	v5-xscore	1	No specific role
kajala	ka3d	1	No specific role
andmar87	e-mr	0	No specific role
blapro	e-mr	0	No specific role
cangsal	e-mr	1	No specific role
cmorasca	e-mr	1	All-Hands Person
darius3723	e-mr	0	No specific role
graber23	e-mr	0	No specific role
jey_code	e-mr	0	No specific role
marvinr	c2html	1	No specific role
afr0	d3dcp	1	No specific role
rener	c2iexplorer	1	All-Hands Person
bruce_hill	facebook-rides	1	Developer
perrikko	facebook-rides	1	Developer
pfinnigan	facebook-rides	1	No specific role
abadger1999	qa-assistant	1	No specific role
bananeweizen	e-p-i-c	0	Developer
batasari	e-p-i-c	0	Developer
jgangemi	e-p-i-c	0	Developer
jploski	e-p-i-c	1	Project Manager
leo_forge	e-p-i-c	0	Developer
ludo167	e-p-i-c	0	Developer
luelljoc	e-p-i-c	1	Project Manager
maiku41	e-p-i-c	0	Developer
philipp_t	e-p-i-c	0	Developer
revoglmaier	e-p-i-c	0	Developer
richterger	e-p-i-c	0	Developer
skoehler	e-p-i-c	0	Developer
stephan_ruehl	e-p-i-c	1	Project Manager
cdhall	spacecraft	0	No specific role
jayhawk_hokie	spacecraft	0	No specific role
nilspace	spacecraft	1	Project Manager
simpliciter	spacecraft	1	Project Manager
xb70	spacecraft	0	Developer
zmower	ada-gerbil	1	No specific role
vishal_kochhar	oaklib	1	No specific role
giord666	m2v	1	No specific role
oyoaha	oalnf	1	No specific role
knuthp	ada2gxl	1	No specific role
m2xdev	m2x	1	No specific role
dex008	oao	1	No specific role
gigahurtz	yabsim	1	No specific role
alexandresw	m3dea	1	Developer
paulorp	m3dea	1	No specific role
dpurgin	qaide	1	No specific role
shashikantp	kaboom	1	No specific role
alberts3	s3fc	1	No specific role
deflatus	s3fc	1	Project Manager
gmpff	s3fc	0	No specific role
mcurf	s3fc	1	Developer
pshymorphic	s3fc	1	Developer
bhuvan_s_2000	e-reportmanager	1	Project Manager
sunbalan	e-reportmanager	1	Project Manager
anders-agren	bacsharp	1	No specific role
skarg	bacsharp	1	Developer
tgcap	m3g-viewer	1	No specific role
brianmalloy	g4re	0	No specific role
jpower	g4re	0	No specific role
nkraft	g4re	1	No specific role
nels	myaphp	1	All-Hands Person
wedoi	oas	1	No specific role
alcinf	m3tk	1	No specific role
soar	w3replib	1	No specific role
ijadb	rabbitdev	1	Developer
jimwet	rabbitdev	1	Developer
raich	rabbitdev	1	No specific role
beduino_xt	x-trad	1	Project Manager
maskers	x-trad	0	Developer
thecodemonster	facepaint	1	No specific role
imerani	nachocalendar	1	No specific role
zoltarx	vaco	1	No specific role
kuaw26	kactrls4delphi	1	No specific role
ttegoeh	j2b	1	No specific role
viacoban	zamolxis	1	No specific role
bad_camel	badcamelgaming	1	No specific role
ankhcraft	rabl	1	No specific role
augustinp	e-sqlcompare	1	Project Manager
acb-chevrant	yacdiff	1	No specific role
bahgdadc	qaproxy	1	No specific role
svwright	c4for	1	No specific role
aviadbd	ga-fwork-net	0	Developer
lumer	ga-fwork-net	1	No specific role
sirwiz	ga-fwork-net	0	Developer
yuri_tsoy	ga-fwork-net	0	Developer
anakein	zang	0	Developer
buennagel	zang	1	All-Hands Person
dcogan	zang	0	Advisor/Mentor/Consultant
jcscoobyrs	zang	0	Developer
junjp	zang	0	Developer
koudanshi	zang	0	No specific role
mvandam	zang	1	Developer
regen_r8	zang	0	Requirements Engineering
skaag	zang	0	Developer
swisslyons	zang	0	Web Designer
uskola	zang	0	Developer
w4z004	zang	1	Project Manager
djerome	hackerlabs	1	No specific role
gaaseng	hackerlabs	1	No specific role
rnstech	yacg	1	No specific role
slavikos	mybamboo	1	No specific role
lukepeterson	iadatatypes	1	No specific role
spacemojo	spacemojo	1	No specific role
captoblivious	ga2	1	No specific role
kollross	m4x	1	Project Manager
vermavee	c4m	1	All-Hands Person
froderik	dabench	1	Developer
charlysworld	vainstall	0	Developer
deniger	vainstall	1	Developer
desnoix	vainstall	1	Project Manager
drepasky	vainstall	0	Developer
the-guru	vainstall	0	Developer
vonarnim	vainstall	1	Developer
westbay	vainstall	0	Developer
iwh	daboss	1	Developer
yrlec	daboss	1	Developer
tsetem	adaparse	1	No specific role
cecil_stock	x11guitest	0	Developer
ctrondlp	x11guitest	1	No specific role
szabgab	x11guitest	0	Developer
jplr	waba-for-dos	1	No specific role
otif11	vairux-ego	0	Developer
vairux	vairux-ego	1	No specific role
croland	wabadatabase	1	No specific role
file13	adaprojet	0	Advisor/Mentor/Consultant
nahaj	adaprojet	1	Project Manager
lbeyeler	spaceopera	1	All-Hands Person
dnp607	qat	0	Developer
hirsu	qat	0	Doc Writer
shausle	qat	0	Developer
slowj	qat	0	Developer
webhiker	qat	1	Project Manager
yjoan	qat	0	Developer
dmarcher	wabadma	1	No specific role
bblfish	kafenio	0	Developer
feuerflitzer	kafenio	0	No specific role
fflorian	kafenio	0	Developer
jkitcat	kafenio	0	Tester
kni67	kafenio	0	Tester
netsrak	kafenio	1	No specific role
phoenixfr	kafenio	0	Developer
gruban	wabajump	1	Project Manager
kedge	wabajump	1	Project Manager
rmontrose	wabajump	0	Developer
robnielsen	wabajump	0	Developer
scytacki	wabajump	0	Developer
wbrandes	wabajump	0	Developer
benedwards	j2ee-fusebox	1	No specific role
fusemonkey	j2ee-fusebox	1	No specific role
happytoad	j2ee-fusebox	0	Developer
perlfreak	j2ee-fusebox	1	No specific role
philduba	j2ee-fusebox	0	Developer
pmcelhaney	j2ee-fusebox	0	Developer
xoconnick	j2ee-fusebox	1	No specific role
bpruessmann	vajindent	1	Developer
mgebha	labeldecorator	1	Developer
kerbtier	vakum	1	Developer
dbergerson	c681xbots	0	Developer
dwalters	c681xbots	1	Developer
the_earl	c681xbots	1	All-Hands Person
dragontunguk	uberunit	1	All-Hands Person
duncan	uberunit	1	All-Hands Person
ivan_r_moore	uberunit	1	No specific role
jappo	wabclient	1	Project Manager
sesquiped	daccel	0	Developer
snrrrub	daccel	1	Project Manager
daveb	dachshund	1	Project Manager
graham_stjack	dachshund	1	Developer
gregh	dachshund	1	Developer
mr_dave	dachshund	0	Developer
netstat	adaptivebus	1	No specific role
basic	yact	1	No specific role
mariuss	yact	0	No specific role
kage-chan	kagpro	1	Project Manager
gsscoder	gac-get	1	No specific role
aviadbd	x2j	1	No specific role
sbouma	bagg	1	No specific role
vamp201	rachel	1	No specific role
brazilianfan	mabslay	1	No specific role
adrianprice	obe	1	Project Manager
aeden	obe	1	Project Manager
dengwu	obe	0	Developer
garagan	obe	0	Developer
garybollinger	obe	1	Project Manager
tlodge	obe	0	Developer
rgardler	saafe	1	Project Manager
rnm-metalogic	dacs-contrib	1	No specific role
cminyard	adasl	1	No specific role
vmassol	j2eeunit	1	No specific role
ade-development	yades	1	No specific role
titanandrews	tablediff	1	No specific role
bfallenstein	zaubertrank	1	No specific role
kanonenschwein	zaubertrank	0	No specific role
xah	zaubertrank	0	No specific role
atzoris	kaistar	0	Developer
gpapandrea	kaistar	1	Project Manager
kaitano	kaistar	1	Project Manager
lucadex	kaistar	1	Project Manager
lucilla	kaistar	0	Developer
mbertagnini	kaistar	1	Project Manager
mensini	kaistar	0	Developer
muzero	kaistar	0	Developer
wburdick	ober	1	No specific role
sabeg	p3asm	1	No specific role
magse	gadesignlib	1	No specific role
andyhubmatrix	ubmatrix-xbrl	1	Developer
neilwubmatrix	ubmatrix-xbrl	1	Project Manager
ubmatrix-xbrl	ubmatrix-xbrl	1	No specific role
brettryan	phersistence	1	No specific role
jkring	labpython	1	No specific role
labviewer	labpython	1	Developer
stevezins	labpython	1	No specific role
albertcc	facturalux	0	Developer
amoyav	facturalux	0	Developer
andreybehrens	facturalux	0	Developer
arodriguezm	facturalux	1	Developer
baxas	facturalux	0	Developer
el_latino	facturalux	0	Developer
eog	facturalux	0	Developer
falbujer	facturalux	1	Developer
gmolleda	facturalux	0	No specific role
gpulido	facturalux	0	Developer
isaaccp	facturalux	0	Developer
jrodrima	facturalux	1	Developer
linuxx	facturalux	0	Developer
lorelop	facturalux	0	No specific role
rrubio2	facturalux	0	Developer
sanyu	facturalux	0	Developer
ssjorge	facturalux	0	No specific role
tittodiego	facturalux	0	Developer
viernes_	facturalux	0	Developer
pudge	mac-toolbox	1	No specific role
razor950	x360sdk	1	No specific role
mauriceling	ib-dwb	1	Project Manager
ainvar	kaiview	1	No specific role
blackwolf359	mac2pc	1	No specific role
orb	gadjit	1	No specific role
ishido	bahur	1	No specific role
marcelosaraujo	validate-ptbr	1	No specific role
ceharon	ibaccess	0	No specific role
comiac	ibaccess	0	No specific role
hubble	ibaccess	0	No specific role
oan42	ibaccess	0	No specific role
tonim	ibaccess	1	Developer
jarbaby	nagiosappender	1	No specific role
a-sennov	kaji	1	No specific role
ivanyukovich	zaval0000	1	Project Manager
lspwd	zaval0000	1	Advisor/Mentor/Consultant
victor7k	zaval0000	1	Advisor/Mentor/Consultant
ivanyukovich	zaval0003	1	No specific role
cruise8	waf	1	No specific role
hinnerup	waf	1	No specific role
kakilik	kakilik	1	No specific role
tavakoly	kakilik	0	No specific role
bluestrm	obfuscatejs	1	No specific role
neurolabs	obfuscatejs	1	Developer
p3net	p3netprojx	1	No specific role
sreuter	obfuscatephp5	1	No specific role
ivanyukovich	zaval0005	1	No specific role
aeden	wafer	1	Project Manager
dionalmaer	wafer	0	Developer
dkfn	wafer	0	Developer
epesh	wafer	0	No specific role
hship	wafer	0	Developer
krist30	wafer	1	Project Manager
paton	wafer	0	Developer
samijarvensivu	wafer	0	No specific role
timp	wafer	0	Developer
twh270	wafer	0	Developer
sroccaserra	j2me-game-demo	1	No specific role
ivanyukovich	zaval0006	1	No specific role
bradcc	j2me-game-lib	1	Developer
wizardjagon	validator	1	No specific role
obfusk	obfusk	1	Developer
abzero	baj	1	Developer
dougneal	baj	1	Developer
gledson_ubuntu	e190	0	No specific role
jlohn	e190	1	No specific role
faoron	fadingsummer	0	Developer
finellen	fadingsummer	1	Project Manager
kiara	fadingsummer	1	Project Manager
kroushl	fadingsummer	0	Developer
thestudent	fadingsummer	1	Support Manager
tuesday	fadingsummer	0	Developer
albel	tabletag	1	No specific role
ascholz	yaesockets	0	Porter (Cross Platform Devel.)
mqm	yaesockets	1	Developer
plamaiziere	yaesockets	0	No specific role
duncan_coutts	haide	1	Developer
josve	haide	1	No specific role
skurtzberg	haide	0	Developer
timfulmer	wagaef	1	No specific role
eso	j2me-lib	1	Developer
ajramire	x3p	1	No specific role
chimeric_spirit	x3p	1	No specific role
glazarus	x3p	1	No specific role
rascal1182	x3p	1	No specific role
wnman2000	x3p	1	No specific role
dl748	ubuilder	1	No specific role
cbegin	ibatisbreakdown	1	Project Manager
masukomi	ibatisbreakdown	0	Developer
basata	daemon4j	1	No specific role
berserk_stern	caboquinho	1	No specific role
cbegin	ibatiscontrib	1	No specific role
rrabe	ibatiscontrib	1	No specific role
sellig	ibatiscontrib	1	No specific role
thusted	ibatiscontrib	1	No specific role
gwhemming	j2me-microgui	0	Developer
mcpierce	j2me-microgui	1	Project Manager
cbegin	ibatisdb	1	Developer
cbegin	ibatisjpetstore	1	No specific role
jseutter	daemonize	1	No specific role
indeyets	faerion	0	Developer
jeteir	faerion	0	Developer
vhex	faerion	1	Project Manager
biovenger	valkyrias	1	No specific role
diegocr	daemons	1	No specific role
bgoodin	ibatisnet	0	Advisor/Mentor/Consultant
cbegin	ibatisnet	0	Advisor/Mentor/Consultant
kawaic	ibatisnet	0	Advisor/Mentor/Consultant
rrabe	ibatisnet	1	Support Manager
sellig	ibatisnet	1	Developer
thusted	ibatisnet	1	Support Manager
billyoconnor	bakery	0	Developer
murrayc	bakery	1	Project Manager
mxpxfifws	bakery	1	Developer
shaderman	bakery	0	Developer
dougfort	addanc	1	All-Hands Person
joegriffin	addanc	1	Project Manager
earnie	p4w	1	Project Manager
shwaresyst	p4w	0	Advisor/Mentor/Consultant
guillermocalvo	j2mefs	1	No specific role
chrisridd	objcsax	1	No specific role
harvinderg	daffodilnet	0	Developer
kspreetha	daffodilnet	0	Developer
leng001	daffodilnet	0	Developer
risques	daffodilnet	0	Editorial/Content Writer
vdeepakkumar	daffodilnet	1	No specific role
winprog	daffodilnet	0	Developer
piratis	j2megl	1	No specific role
auria	macdylibbundler	1	No specific role
robbn	valtoolkit	1	No specific role
francisabooth	cachedjarloader	1	No specific role
naushin	cachedjarloader	0	Developer
dreamingbear	p5re	1	No specific role
elektryczny	valuablesoft	1	No specific role
barthalg	yafumle	1	Developer
copypasters	yafumle	1	No specific role
grigorij	yafumle	1	Developer
keccs	yafumle	1	Developer
kunoka	yafumle	1	Developer
pocsolya	yafumle	1	Developer
djvanmaren	e4graph	1	No specific role
hemkond	e4graph	0	Developer
jcw	e4graph	1	No specific role
jpfletcher	e4graph	1	No specific role
jyljyljyl	e4graph	1	No specific role
mwaisberg	j2melib	1	No specific role
azachar	valuelist	1	Developer
mlavwilson	valuelist	1	Project Manager
mzachar	valuelist	0	Developer
timbob1803	valuelist	1	Project Manager
camposj	objectbase	1	Project Manager
clombardi	objectbase	0	No specific role
hliendo	objectbase	1	Project Manager
ibottero	objectbase	0	No specific role
jfernandes	objectbase	0	No specific role
leito_1980	objectbase	0	No specific role
luchorey	objectbase	0	Developer
matthewthegrey	objectbase	0	Developer
npasserini	objectbase	1	Project Manager
obi_juan_kenobi	objectbase	1	Project Manager
rgluck	objectbase	0	No specific role
sancey	objectbase	0	Developer
pmsrtux	sacix	1	No specific role
stratus	sacix	1	Project Manager
abegtrup	qcijutils	0	Developer
doi	qcijutils	0	Developer
evought	qcijutils	1	All-Hands Person
gillparams	qcijutils	0	Developer
hwmeder	qcijutils	1	Developer
mab777	qcijutils	0	No specific role
d3x0r	sack	1	All-Hands Person
garzol	phimatex	1	No specific role
jbesnard	phimatex	0	Developer
oprgag	phimatex	0	Editorial/Content Writer
riduidel	phimatex	0	Editorial/Content Writer
true_garzol	phimatex	0	Editorial/Content Writer
emergetw	cachew	1	No specific role
frb-de	objectbrowser	1	All-Hands Person
gabrielteratos	tabulation	1	No specific role
macro187	halfdecentsharp	1	No specific role
boism	yagdiff	1	No specific role
mkallman	objectcache	1	No specific role
flyerhzm	mycodeline	1	No specific role
thinkkevin	mycodeline	0	No specific role
hptraub	values4j	1	No specific role
abmccullough	zclipse	1	All-Hands Person
akmal88	zclipse	0	No specific role
buddy1974	zclipse	0	No specific role
celek	zclipse	0	Developer
chambery	zclipse	1	Developer
marcus_malcom	zclipse	1	All-Hands Person
michaelrhead	zclipse	1	All-Hands Person
mmjohnso	zclipse	0	All-Hands Person
psyncho	zclipse	0	No specific role
shanenz	zclipse	0	Developer
timhickey	zclipse	0	No specific role
vvinnie	zclipse	0	Developer
luizfernando	objectcircuits	1	Developer
matheusleite	objectcircuits	1	Project Manager
ivanneto	xactor	1	No specific role
reverbel	xactor	1	Project Manager
bsslab	vamnet	1	No specific role
cxbest	uced	0	No specific role
dnair	uced	0	Developer
firefly07	uced	0	Developer
mohamedmansour	uced	0	No specific role
ssteph	uced	1	No specific role
rgiuly	zcontrols	1	No specific role
macguru	macgurucplusuts	1	No specific role
cyclonurb	uceditor	1	No specific role
dokterx	uceditor	0	No specific role
iainmcgin	uceditor	1	Project Manager
jay_clark	uceditor	0	Developer
jerome-x	uceditor	1	No specific role
trowone1	dahlia	1	No specific role
lijat	fairy	1	No specific role
fpgui	balise	1	No specific role
bwaechter	eaasyst	0	No specific role
dhaake	eaasyst	0	Developer
jchilton	eaasyst	1	No specific role
marissa_rabe	eaasyst	0	Developer
pmendes	eaasyst	1	Project Manager
pruan	eaasyst	0	Developer
saleems	eaasyst	1	Developer
tgilkison	eaasyst	0	Developer
brettryan	objectgrid	1	All-Hands Person
xaguilars	xagdelphitools	1	No specific role
jeugenepace	yagol	1	No specific role
miyachi	cactus4enhydra	1	No specific role
fhwang	lafcadio	1	No specific role
rsramanujam	kamadhenu	1	No specific role
amnorvend	kamaelia	0	Developer
anagha_m	kamaelia	0	Developer
bghose	kamaelia	0	No specific role
celestialryan	kamaelia	0	Developer
davbo	kamaelia	0	No specific role
devendra_l	kamaelia	0	Developer
jlei	kamaelia	0	No specific role
matth_rd	kamaelia	1	Developer
ms_	kamaelia	1	Project Manager
nctrun	kamaelia	0	No specific role
orphans	kamaelia	0	No specific role
pitt2	kamaelia	0	Developer
seel20	kamaelia	0	Developer
tara-	kamaelia	0	Developer
thf_dev	kamaelia	0	Developer
toplch	kamaelia	0	No specific role
warrenking	kamaelia	0	No specific role
andyhot	tacos	1	Developer
darkeye	tacos	0	Developer
gabrielha	tacos	0	Developer
ideasculptor	tacos	0	Developer
idrobiazko	tacos	0	Developer
jeje	tacos	0	Developer
jkuhnert	tacos	1	Developer
leoquijano	tacos	0	Developer
phraktle	tacos	1	Project Manager
sdanig	tacos	0	Developer
sunfmin	tacos	0	Developer
zombi	tacos	0	No specific role
bohemius	j2meunit	1	Developer
brunnosilva	j2meunit	1	Developer
eso	j2meunit	1	Project Manager
juntao	j2meunit	1	No specific role
christianhjw	uci	1	Developer
cookieman_k	uci	1	Developer
foogod	uci	1	Project Manager
suiryc	uci	0	Developer
jae	objective-gtk	1	No specific role
richard_kurz	qcw-plugin	1	No specific role
crsadun	sadun-util	1	No specific role
fmrfirebird	objective3d	1	Project Manager
cstt	zdat	1	No specific role
oasp	objectiveasp	1	All-Hands Person
andyscherzinger	lagoony	1	Developer
herrn	lagoony	1	Developer
matthiasmaurer	lagoony	1	Developer
thomasfelber	lagoony	1	Developer
el3v3n	cadb	1	No specific role
jbrat	yahoo-ews-jsdk	1	All-Hands Person
yahoo_sm	yahoo-ews-jsdk	1	All-Hands Person
will_mason	objectivelib	1	No specific role
yecai_lai	lai-dictionary	1	No specific role
scm	qdbttabular	1	No specific role
kanotspell	cadditives	1	All-Hands Person
ncenginear	cadditives	1	All-Hands Person
spyder_tl	objectlibdoc	1	No specific role
rpa_rio	j2secontrols	1	Project Manager
ringdal	ibootadvanced	1	No specific role
gmcsw3	radis3	1	No specific role
dr_tux	xalgo	1	No specific role
xalgo	xalgo	1	Developer
gerry4u	phloc-logging	0	Developer
p_h	phloc-logging	1	Project Manager
phloc_bg	phloc-logging	1	Developer
namaless	namaless	1	No specific role
archan	lainos	1	Graphic/Other Designer
m477	lainos	1	Developer
majestic-12	lainos	1	Web Designer
mwdx	lainos	0	Developer
neovanglist	lainos	1	Project Manager
xuric	lainos	0	Support Manager
zn4k	lainos	0	All-Hands Person
damyot	ucmexporter	0	No specific role
jamel_hassine	ucmexporter	0	No specific role
shleh	ucmexporter	1	No specific role
vijayaraghavank	j2uml	1	No specific role
adenegri	vaniglia	0	Developer
caristi	vaniglia	0	Developer
eris4vp	vaniglia	0	Developer
gferro	vaniglia	0	Developer
malbear	vaniglia	0	Developer
mariachiara	vaniglia	0	Developer
mikyaiello	vaniglia	1	Project Manager
patrizio_munzi	vaniglia	0	Developer
santonelli	vaniglia	0	Developer
lobochief	xamj	1	Developer
xamjadmin	xamj	0	Developer
yairraz	xamj	0	Developer
dyfet	ucommon	1	No specific role
ashish_cy	cadkit	0	Developer
hmullens	cadkit	0	Developer
imikejackson	cadkit	1	Developer
jeadams3	cadkit	0	Tester
jsconner	cadkit	0	Developer
