dev_loginname	proj_unixname	is_admin	position
a3dge_mac	a3dge	0	Doc Writer
niunio	a3dge	1	 
kencochrane	a4j	1	 
tom42	a78tools	1	 
lmccay	aaa4avalon	1	Developer
mothyjules	aaa4avalon	1	Developer
rwwallace	aaa4avalon	1	Developer
mlipp	aac-xforms	1	Project Manager
macbishop	aaio	1	 
mantask	aamon	1	 
psoleni	aamon	1	Developer
agathos	aba	1	Project Manager
tobiaseberle	aba	1	Developer
abaguidev1	abaguibuilder	1	Developer
codeshark	abaguibuilder	1	Project Manager
jnfleisc	abat	1	 
paulrosen	abcp	0	 
rdentato	abcp	1	Developer
thistledowne	abcp	1	 
pradox	abcwebclient	1	Developer
flexer	abele	1	 
michelg	abkit	1	 
brunow	abr	1	 
avicalev	absolutex	1	 
avinoam	absolutex	1	 
guyb	absolutex	1	 
krasner	absolutex	1	 
lipatov	absolutex	1	 
oranb	absolutex	1	 
rotem	absolutex	1	 
zigfried	absolutex	1	 
zuchman	absolutex	1	 
justinrudd	abstractadonet	1	 
lennartgr	abstractdb	1	 
ctzurcanu	abstractdb-php	1	 
cpp_programmer	abxlib	0	Developer
neuralx	abxlib	1	Project Manager
witzeldev	abxlib	1	 
gborrelli2006	abyssstudio	1	 
agilejava	acai	0	 
bitiboy	acai	1	 
superbible_cs	acai	1	 
yinming528	acassist	1	 
tony_ambr	accesslib	1	 
nwinkler	accessmodifier	1	Project Manager
pthaz	accessroad	1	 
theplanet	accountguard	1	Developer
rblaze	ace-freebsd	1	All-Hands Person
alexagr	ace-radius	1	 
ksevindik	acegi-ext	1	 
djeeg	aceginet	1	Porter (Cross Platform Devel.)
yljia	acfproj	1	 
abrager	acid	0	Developer
ebf	acid	1	Project Manager
jaschau	acid3lib	1	Project Manager
aenarionita	ackronic	1	 
marcmenghin	acmdoc	1	Project Manager
markusplangg	acmdoc	1	Developer
ashishg55	acmgr	1	 
dchang_ca	acmgr	1	Developer
acmx	acmx	1	Developer
a_sauerhoefer	acrypt	1	 
ezequieljadib	acs-nh	1	Developer
gartland	acsf	1	 
angelcode	actb	1	 
p_lafraise	actionfactory	1	Developer
t_chevalier	actionfactory	1	Project Manager
ptoman	actionframework	1	 
nphelps	active-jms	1	Developer
activebpel	activebpel	1	 
activegrid	activegrid	1	All-Hands Person
bethf	activegrid	1	Content Management
geremycohen	activegrid	1	Support Manager
jdhare	activegrid	1	Developer
mattmcnulty	activegrid	1	Developer
psmehta	activegrid	1	Tester
stoens	activegrid	1	Developer
wmschott	activegrid	1	 
ajcompany	activelock	0	 
davidweatherall	activelock	0	Developer
dwains102	activelock	0	Developer
farcasclaudiu	activelock	0	Developer
ialkan	activelock	1	Project Manager
tkuchel	activelock	1	Developer
waltersenekal	activelock	1	Project Manager
akhe	activex	1	Project Manager
tequilaslammer	activexmlr	1	 
floydprice	activexp	1	Project Manager
garyz	activexp	1	 
nrushforth	activexp	1	Project Manager
acti_solutions	activscm	1	 
theglasswalker	actualizer	1	 
zmower	ada-gerbil	1	 
knuthp	ada2gxl	1	 
tsetem	adaparse	1	 
file13	adaprojet	0	Advisor/Mentor/Consultant
nahaj	adaprojet	1	Project Manager
netstat	adaptivebus	1	 
cminyard	adasl	1	 
dougfort	addanc	1	All-Hands Person
joegriffin	addanc	1	Project Manager
apiou	adgali	1	Project Manager
breadcrust	adjustimg	1	 
moonfann	adkp	1	Developer
wshin	admiral	1	Project Manager
fedbi	adobeflashcs3pr	1	 
blogger	adodbapi	0	Developer
ekelund	adodbapi	1	Project Manager
kf7xm	adodbapi	1	Project Manager
swildermuth	adonetpack	1	 
gldneagl	adtalgorlibrary	1	Project Manager
nmarkgraf	adtalgorlibrary	1	 
roundthecorner	adtalgorlibrary	1	Project Manager
damato	adtools	1	Project Manager
fta	adtools	1	Doc Writer
gilfanon	adtools	1	Developer
gnikl	adtools	1	Developer
hfrieden	adtools	1	Developer
marcus_c	adtools	1	Developer
michalsc	adtools	1	Developer
nicomen	adtools	1	Developer
obarthel	adtools	1	Developer
offa	adtools	1	Developer
tfrieden	adtools	1	Developer
theantony	adtools	1	Developer
verhaegs	adtools	1	Developer
yabba	adtools	1	Developer
mbass	adurant	1	Developer
timhill	advancedvbrefs	1	 
paninaro	advas	1	 
chcha	advpy	1	 
ward99	aeclients	1	Project Manager
marko_schuetz	aegis	0	Developer
pmiller	aegis	1	 
wfranzini	aegis	1	Developer
ciphersoftware	aeongdk	1	Developer
colsystems	aeongdk	1	Developer
dosbert	aeongdk	1	Developer
joe_programmer	aeongdk	1	Developer
ndavies	aeongdk	1	Project Manager
jeffcamozzi	aep	1	 
aepryus	aeputil	1	 
red0x	aeslib	1	 
agalimberti	afc	1	 
fsoft	afc	1	 
paul_afcommerce	afcommerce	1	Developer
axelchen	afkcfg	1	 
m0rt	afkcfg	1	Developer
afsoft	afphpclasslib	1	 
ivelin	aft	0	 
jeff_turner	aft	1	 
ovidiu	aft	1	 
wanderingwalrus	aft	1	 
wkeese	aft	1	Developer
beders	afterthought	1	Project Manager
hsprabhu	afterthought	1	Developer
armel	afupdevphp	0	Developer
nhoizey	afupdevphp	1	 
ccoquand	agda	1	Developer
ikegamidaisuke	agda	1	Developer
mbenke	agda	1	Developer
miyahara-n	agda	1	Web Designer
n-kato	agda	1	 
p1738j	agda	1	 
t-seino	agda	1	Developer
toons_osgi	age-osgi	1	 
fcristini	agelib	1	 
agent009	agentacademy	0	Tester
asymeon	agentacademy	1	Developer
diok	agentacademy	1	Developer
dtektonidis	agentacademy	1	Tester
evariste_galois	agentacademy	1	Developer
evgobal	agentacademy	1	Tester
felix007	agentacademy	1	Developer
ionathan	agentacademy	1	Developer
kyrcha	agentacademy	1	Tester
rmatech	agentacademy	1	Developer
siyamed	agentacademy	1	Developer
vivia	agentacademy	1	Developer
yildiray	agentacademy	1	Developer
venturimi	agentejade	1	 
finsss	agfupx	1	 
kawesa	agilegear	1	All-Hands Person
x10gimli	agiletrack	1	 
designmuse	agileworkbench	1	 
arntr	agilis	0	 
paulrene	agilis	1	 
chockenberry	agkit	1	 
grnmn	agkit	1	 
pmosimann	agnes	1	Project Manager
zones	agnes	1	 
daviddeharbe	agraphs	1	 
soundx	ahf	1	 
abdennour	ai-standards	0	Developer
ai_giovanni_ia	ai-standards	0	 
alexjc	ai-standards	0	All-Hands Person
arnokamphuis	ai-standards	0	Developer
athomasgoldberg	ai-standards	0	Developer
axelbuendia	ai-standards	0	Developer
axelrod	ai-standards	0	Project Manager
barbalet	ai-standards	0	Developer
bgeisler	ai-standards	0	Project Manager
bimblewooooo	ai-standards	0	Developer
bknafla	ai-standards	0	Project Manager
bmagerko	ai-standards	0	 
brian_schwab	ai-standards	0	Developer
clinares	ai-standards	0	Developer
codemonkey_uk	ai-standards	0	Developer
cwreynolds	ai-standards	0	Developer
dekosser	ai-standards	0	Developer
dposton	ai-standards	0	Developer
drainboy	ai-standards	0	Developer
dsuttles	ai-standards	0	Developer
dustsettles	ai-standards	0	 
ebeeker	ai-standards	0	Developer
ejcoumans	ai-standards	0	Developer
eldon1660	ai-standards	0	Developer
fb-la-i	ai-standards	0	 
fcs2001	ai-standards	0	Developer
funge	ai-standards	0	Developer
gpaull	ai-standards	0	Project Manager
hmunoz	ai-standards	0	Developer
hugo_ai	ai-standards	0	All-Hands Person
jakovo	ai-standards	0	 
jdellaro	ai-standards	0	No specific role
jhancock93	ai-standards	0	Project Manager
jjkelly	ai-standards	0	Project Manager
jjmorrison	ai-standards	0	Developer
john-reynolds	ai-standards	0	Developer
john_langford	ai-standards	0	Developer
jorkin	ai-standards	0	Project Manager
justinhj	ai-standards	0	 
kolenskim	ai-standards	0	 
kudenko	ai-standards	0	Developer
lglover04	ai-standards	0	Developer
linn	ai-standards	0	Developer
martypoulin	ai-standards	0	Project Manager
matbuckland	ai-standards	0	Developer
mchady	ai-standards	0	Developer
meshula	ai-standards	0	Project Manager
mnagaku	ai-standards	0	 
nareyek	ai-standards	1	Project Manager
ncombs	ai-standards	1	Developer
neonai	ai-standards	1	Developer
noelstephens	ai-standards	1	Developer
owlboy	ai-standards	1	 
pbdebyl	ai-standards	1	Developer
philgoetz	ai-standards	1	Developer
prieditis	ai-standards	1	Developer
samcalis	ai-standards	1	Developer
sjabth	ai-standards	1	 
slowlearner	ai-standards	1	Developer
syrusm	ai-standards	1	Developer
tellarin	ai-standards	1	Project Manager
vag_liv	ai-standards	1	 
yapar	ai-standards	1	 
yildirim	ai-standards	1	 
dlewin	aiexp	1	 
browner10	ailoom	1	Project Manager
nonchocoboy	ailoom	1	Developer
medshah	aipl	1	 
palmalex	aisearch	1	 
momat	aisoccer	1	Developer
mwerla	aisoccer	1	Project Manager
b0z0mind	ajax	0	Developer
gevely	ajax	0	Developer
ilits	ajax	0	Developer
vamp201	ajax	1	 
ajaxcn	ajax-dev-lib	0	Developer
catherine_sf	ajax-dev-lib	0	Developer
gaoligaoli	ajax-dev-lib	0	Developer
hanbingxie	ajax-dev-lib	0	Developer
hbycchenxiao	ajax-dev-lib	0	Developer
joyistar	ajax-dev-lib	1	 
snail0066	ajax-dev-lib	1	 
testdll	ajax-dev-lib	1	Developer
venson	ajax-dev-lib	1	 
xutao2811	ajax-dev-lib	1	 
yuxiaoxu	ajax-dev-lib	1	Developer
zmyliyu	ajax-dev-lib	1	Project Manager
gustavo_amigo	ajax-pages	1	 
stuart_fraser	ajax4one	1	Project Manager
robertall	ajaxcms	1	 
ajaxforms	ajaxforms	1	 
niewolski	ajaxgrid	1	 
diego_zanga	ajaxrad	1	 
hbomboes	ajaxstream	1	 
hseeberger	ajeer	0	Developer
mlippert	ajeer	1	 
mstoerzer	ajhsqldb	1	 
ulreib	ajhsqldb	1	Developer
eboudrant	ajprofiler	1	Project Manager
aschuma	ajstruts	1	 
thomasabeel	ajt	1	 
thpar	ajt	1	Developer
cr0w	akarmi	0	Developer
dbeck	akarmi	1	All-Hands Person
inviscid	akorn	1	Project Manager
rea725	akorn	1	Project Manager
azidhouse	al4java	0	Developer
pepijnve	al4java	1	 
boywowboy	alabastra	0	Developer
fontax	alabastra	0	Developer
marco84	alabastra	1	Project Manager
n3wtron	alabastra	1	Project Manager
gjmacd	alde	0	Developer
pmariusz	alde	1	Project Manager
nickyqu	ale	1	 
tdesposito	alescere-engine	1	 
avjewe	alexautils	1	 
fcojrodriguez	alfrescon	1	 
chol	algosatfreenode	0	 
